日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,d-10,d-9,d-8,d-7,d-6,d-5,d-4,d-3,d-2,d-1,5日均,10日均,20日均,30日均,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2020-12-30,688618,54.0,61.17,86.4,50.05,82411,459894320.0,106.66,79.49,27.09,76.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.17,61.17,61.17,61.17,-7.14,-7.65,7.83,10.48,10.45,12.47,8.7,-8.45,-8.81,-7.54
2020-12-31,688618,54.95,53.66,56.8,53.27,52772,288640896.0,5.77,-12.28,-7.51,46.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.19,57.41,57.41,57.41,57.41,5.27,22.92,25.94,25.9,28.21,23.91,4.36,3.95,5.4,8.29
2021-01-04,688618,53.22,55.29,56.49,52.66,32310,176305739.0,7.14,3.04,1.63,28.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07,7.86,56.71,56.71,56.71,56.71,19.3,22.23,22.19,24.43,20.26,1.28,0.89,2.3,5.1,2.66
2021-01-05,688618,54.15,63.79,65.96,53.2,52294,312624416.0,23.08,15.37,8.5,45.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.41,6.77,6.18,58.48,58.48,58.48,58.48,5.94,5.91,7.85,4.23,-12.21,-12.56,-11.33,-8.9,-11.02,-8.95
2021-01-06,688618,61.98,64.5,67.58,60.08,42990,276737920.0,11.76,1.11,0.71,37.76,0.0,0.0,0.0,0.0,0.0,0.0,43.81,-5.46,-5.98,9.79,59.68,59.68,59.68,59.68,4.74,6.67,3.09,-13.18,-13.52,-12.31,-9.91,-12.0,-9.95,-10.84
2021-01-07,688618,63.55,66.7,67.56,60.86,40256,259088210.0,10.39,3.41,2.2,35.36,0.0,0.0,0.0,0.0,0.0,41.97,-6.67,-7.18,8.38,11.04,60.79,60.85,60.85,60.85,3.15,-0.31,-16.04,-16.37,-15.2,-12.88,-14.9,-12.92,-13.78,-16.79
2021-01-08,688618,66.8,66.0,68.8,64.64,26886,180100223.0,6.24,-1.05,-0.7,23.61,0.0,0.0,0.0,0.0,33.66,-12.13,-12.61,2.04,4.55,4.52,63.26,61.59,61.59,61.59,0.74,-15.15,-15.48,-14.3,-11.95,-14.0,-12.0,-12.86,-15.91,-16.67
2021-01-11,688618,65.85,56.1,66.49,56.0,33022,198977351.0,15.89,-15.0,-9.9,29.0,0.0,0.0,0.0,54.29,1.43,0.88,17.79,20.68,20.64,22.86,63.42,60.9,60.9,60.9,-0.18,-0.57,0.82,3.58,1.18,3.53,2.51,-1.07,-1.96,-4.85
2021-01-12,688618,56.0,53.18,56.0,52.71,18495,100255122.0,5.86,-5.2,-2.92,16.24,0.0,0.0,63.92,7.76,7.17,25.14,28.21,28.17,30.53,26.14,61.3,60.04,60.04,60.04,4.89,6.36,9.27,6.73,9.21,8.14,4.36,3.42,0.38,0.34
2021-01-13,688618,53.38,53.68,55.78,52.03,14700,79234181.0,7.05,0.94,0.5,12.91,0.0,66.06,9.17,8.57,26.77,29.89,29.85,32.23,27.79,7.63,59.13,59.41,59.41,59.41,5.37,8.25,5.74,8.2,7.13,3.39,2.46,-0.56,-0.6,-1.64
2021-01-14,688618,53.69,55.21,56.56,51.88,17538,96051500.0,8.72,2.85,1.53,15.4,66.54,9.48,8.89,27.14,30.26,30.22,32.61,28.16,7.94,7.52,56.83,58.81,59.03,59.03,5.25,2.81,5.2,4.17,0.53,-0.38,-3.31,-3.35,-4.37,-4.91
2021-01-15,688618,55.0,56.0,58.11,53.62,16247,91232519.0,8.13,1.43,0.79,14.27,5.93,5.35,23.01,26.04,26.0,28.31,24.0,4.44,4.03,5.48,54.83,59.04,58.77,58.77,1.36,3.71,2.7,-0.89,-1.79,-4.68,-4.71,-5.71,-6.25,-8.12
2021-01-18,688618,54.7,55.55,56.76,54.7,14354,79521298.0,3.68,-0.8,-0.45,12.61,3.27,20.59,23.55,23.51,25.78,21.55,2.38,1.97,3.4,6.23,54.72,59.07,58.53,58.53,4.55,3.53,-0.09,-0.99,-3.91,-3.94,-4.95,-5.49,-7.38,-10.21
2021-01-19,688618,55.49,56.33,58.08,55.08,11499,65235068.0,5.4,1.4,0.78,10.1,19.75,22.69,22.66,24.91,20.72,1.67,1.27,2.69,5.5,3.05,55.35,58.33,58.37,58.37,2.09,-1.47,-2.36,-5.24,-5.27,-6.27,-6.8,-8.66,-11.45,-10.7
2021-01-20,688618,56.4,54.8,57.51,54.42,12226,67890472.0,5.49,-2.72,-1.53,10.74,24.18,24.15,26.42,22.18,2.9,2.5,3.93,6.78,4.3,6.73,55.58,57.36,58.13,58.13,1.28,0.36,-2.59,-2.63,-3.65,-4.2,-6.11,-8.98,-8.21,-11.9
2021-01-21,688618,54.0,54.5,55.5,53.7,11567,62992747.0,3.28,-0.55,-0.3,10.16,25.81,28.12,23.82,4.28,3.87,5.33,8.21,5.7,8.16,7.09,55.44,56.14,57.9,57.9,0.92,-2.06,-2.09,-3.12,-3.67,-5.6,-8.48,-7.71,-11.41,-15.19
2021-01-22,688618,54.0,52.5,55.0,51.98,13169,69786149.0,5.54,-3.67,-2.0,11.57,32.36,27.91,7.73,7.31,8.81,11.79,9.2,11.74,10.64,6.77,54.74,54.78,57.59,57.59,1.68,1.64,0.57,0.0,-2.0,-4.99,-4.19,-8.04,-11.96,-13.64
2021-01-25,688618,52.31,51.56,53.38,51.1,8323,43160370.0,4.34,-1.79,-0.94,7.31,30.12,9.59,9.16,10.68,13.72,11.08,13.66,12.54,8.61,7.63,53.94,54.33,57.25,57.25,3.49,2.4,1.82,-0.21,-3.26,-2.44,-6.36,-10.36,-12.06,-16.35
2021-01-26,688618,51.19,52.9,53.36,51.19,8474,44658684.0,4.21,2.6,1.34,7.44,9.4,8.97,10.49,13.52,10.88,13.46,12.35,8.42,7.44,4.28,53.25,54.3,57.02,57.02,-0.19,-0.76,-2.74,-5.71,-4.91,-8.73,-12.63,-14.29,-18.47,-21.36
2021-01-27,688618,52.33,51.67,52.8,51.46,6681,34590879.0,2.53,-2.33,-1.23,5.87,8.39,9.91,12.92,10.3,12.86,11.76,7.85,6.88,3.73,3.69,52.63,54.1,56.75,56.75,1.61,-0.43,-3.46,-2.65,-6.56,-10.55,-12.25,-16.53,-19.49,-17.65
2021-01-28,688618,51.1,50.65,52.5,50.65,5983,30806678.0,3.58,-1.97,-1.02,5.25,11.67,14.73,12.06,14.67,13.54,9.58,8.59,5.39,5.35,4.24,51.86,53.65,56.23,56.46,1.58,-1.52,-0.69,-4.68,-8.75,-10.48,-14.85,-17.87,-15.99,-13.82
2021-01-29,688618,50.6,47.62,51.45,46.0,11567,55600985.0,10.76,-5.98,-3.03,10.16,26.33,23.39,26.26,25.02,20.65,19.57,16.04,16.0,14.78,14.13,50.88,52.81,55.93,56.06,4.75,5.63,1.39,-2.94,-4.79,-9.43,-12.64,-10.65,-8.34,-4.72
2021-02-01,688618,46.6,49.76,49.88,46.6,9672,47207889.0,6.89,4.49,2.14,8.49,21.8,24.64,23.41,19.1,18.03,14.55,14.51,13.3,12.66,10.41,50.52,52.23,55.65,55.79,1.09,-2.97,-7.11,-8.88,-13.32,-16.4,-14.49,-12.28,-8.82,-7.32
2021-02-02,688618,49.4,47.88,50.3,47.63,6617,32014031.0,5.37,-3.78,-1.88,5.81,21.94,20.74,16.52,15.47,12.07,12.03,10.85,10.22,8.02,4.72,49.52,51.38,54.85,55.46,0.84,-3.47,-5.3,-9.92,-13.12,-11.13,-8.83,-5.24,-3.68,-6.7
2021-02-03,688618,47.48,45.9,48.28,45.84,6735,31433264.0,5.1,-4.14,-1.98,5.92,25.46,21.07,19.98,16.45,16.4,15.18,14.53,12.24,8.81,9.73,48.36,50.49,53.92,55.08,0.7,-1.22,-6.03,-9.37,-7.3,-4.9,-1.15,0.48,-2.68,-1.13
2021-02-04,688618,45.73,44.56,46.22,43.58,5851,26073448.0,5.75,-2.92,-1.34,5.14,27.35,26.2,22.49,22.44,21.16,20.47,18.06,14.46,15.42,10.78,47.14,49.5,52.82,54.67,1.75,-3.21,-6.64,-4.51,-2.04,1.82,3.5,0.25,1.84,2.04
2021-02-05,688618,44.2,42.53,45.34,42.53,6531,28466536.0,6.31,-4.56,-2.03,5.74,29.32,25.51,25.46,24.15,23.44,20.97,17.28,18.27,13.52,8.68,46.13,48.5,51.64,54.22,1.41,-2.19,0.05,2.63,6.68,8.44,5.03,6.7,6.91,3.5
