日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,d-10,d-9,d-8,d-7,d-6,d-5,d-4,d-3,d-2,d-1,5日均,10日均,20日均,30日均,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2024-03-28,001359,31.0,33.11,34.98,28.83,326190,998829569.65,35.37,90.4,15.72,71.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.11,33.11,33.11,33.11,-5.04,-10.66,-16.4,-18.21,-14.5,-5.95,0.57,-14.01,-16.58,-14.98
2024-03-29,001359,30.5,28.52,31.44,28.35,258446,766248244.97,9.33,-13.86,-4.59,56.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39,30.81,30.81,30.81,30.81,3.72,-2.95,-5.05,-0.74,9.19,16.76,-0.18,-3.16,-1.3,-10.59
2024-04-01,001359,28.52,28.31,29.58,28.0,208986,600232203.87,5.54,-0.74,-0.21,45.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93,12.29,29.98,29.98,29.98,29.98,-2.23,-4.34,0.0,10.0,17.63,0.57,-2.44,-0.57,-9.93,-12.4
2024-04-02,001359,27.22,26.81,27.68,26.58,190334,515442632.3,3.89,-5.3,-1.5,41.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,18.28,11.29,29.19,29.19,29.19,29.19,1.01,5.59,16.15,24.21,6.19,3.02,5.0,-4.89,-7.5,-3.02
2024-04-03,001359,26.94,25.74,27.08,25.66,159430,417154059.48,5.3,-3.99,-1.07,35.08,0.0,0.0,0.0,0.0,0.0,0.0,36.32,22.53,15.28,7.87,28.5,28.5,28.5,28.5,9.98,20.98,29.37,10.61,7.3,9.36,-0.93,-3.65,1.01,-4.08
2024-04-08,001359,25.61,28.31,28.31,24.91,213812,569771160.35,13.21,9.98,2.57,47.04,0.0,0.0,0.0,0.0,0.0,40.43,26.21,18.75,11.12,8.71,27.54,28.47,28.47,28.47,10.0,17.63,0.57,-2.44,-0.57,-9.93,-12.4,-8.16,-12.79,-6.68
2024-04-09,001359,28.31,31.14,31.14,28.0,306873,921754735.84,11.09,10.0,2.83,67.52,0.0,0.0,0.0,0.0,24.93,12.29,5.64,-1.14,-3.29,1.11,28.06,28.85,28.85,28.85,6.94,-8.57,-11.3,-9.6,-18.11,-20.36,-16.51,-20.71,-15.16,-15.54
2024-04-10,001359,32.5,28.97,33.3,28.06,306279,933939531.26,16.83,-6.97,-2.17,67.39,0.0,0.0,0.0,24.66,12.05,5.42,-1.35,-3.49,0.89,10.98,28.19,28.86,28.86,28.86,-1.73,-4.66,-2.83,-11.98,-14.39,-10.25,-14.77,-8.8,-9.22,-10.39
2024-04-11,001359,28.31,26.73,28.47,26.47,196406,535868051.73,6.9,-7.73,-2.24,43.22,0.0,0.0,32.15,18.78,11.75,4.57,2.3,6.95,17.64,25.8,28.18,28.63,28.63,28.63,3.33,5.31,-4.6,-7.22,-2.73,-7.63,-1.16,-1.61,-2.88,1.27
2024-04-12,001359,26.75,27.06,27.62,26.34,153496,413949536.45,4.79,1.23,0.33,33.77,0.0,32.8,19.36,12.3,5.09,2.81,7.48,18.22,26.42,8.09,28.44,28.47,28.47,28.47,4.03,-5.76,-8.35,-3.92,-8.76,-2.37,-2.81,-4.07,0.04,-3.73
