日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,d-10,d-9,d-8,d-7,d-6,d-5,d-4,d-3,d-2,d-1,5日均,10日均,20日均,30日均,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2020-04-20,688126,9.5,10.91,11.09,8.96,3200627,3089205001.0,54.76,180.46,7.02,71.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,10.91,10.91,10.91,1.37,12.83,11.27,5.96,14.57,24.47,26.86,45.19,74.24,84.23
2020-04-21,688126,10.2,10.38,11.06,10.09,2129745,2226630321.0,8.89,-4.86,-0.53,47.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,10.64,10.64,10.64,10.64,18.59,16.96,11.37,20.42,30.83,33.33,52.6,83.14,93.64,76.78
2020-04-22,688126,10.6,11.8,12.31,10.6,1978052,2264632678.0,16.47,13.68,1.42,43.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,4.34,11.03,11.03,11.03,11.03,2.88,-2.03,5.93,15.08,17.29,34.24,61.1,70.34,55.51,61.1
2020-04-23,688126,11.71,11.27,12.14,11.11,1553910,1808070723.0,8.73,-4.49,-0.53,34.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.45,10.8,11.09,11.09,11.09,11.09,2.57,10.91,20.5,22.8,40.55,68.68,78.35,62.82,68.68,60.87
2020-04-24,688126,11.06,11.3,11.56,10.71,1131735,1258707576.0,7.54,0.27,0.03,25.16,0.0,0.0,0.0,0.0,0.0,0.0,3.55,3.27,14.94,13.35,11.13,11.13,11.13,11.13,10.62,20.18,22.48,40.18,68.23,77.88,62.39,68.23,60.44,68.76
2020-04-27,688126,11.38,11.76,12.5,11.16,1278194,1506559178.0,11.86,4.07,0.46,28.42,0.0,0.0,0.0,0.0,0.0,-0.63,-0.9,10.3,8.78,3.58,11.3,11.24,11.24,11.24,15.48,17.69,34.69,61.65,70.92,56.04,61.65,54.17,62.16,85.37
2020-04-28,688126,11.58,13.5,13.58,11.57,1634033,2055363936.0,17.09,14.8,1.74,36.33,0.0,0.0,0.0,0.0,-4.15,-4.41,6.4,4.93,-0.09,8.04,11.93,11.56,11.56,11.56,2.52,17.33,40.81,48.89,35.93,40.81,34.3,41.26,61.48,52.3
2020-04-29,688126,13.65,13.2,13.84,12.91,1075792,1441493068.0,6.89,-2.22,-0.3,23.92,0.0,0.0,0.0,-14.1,-14.33,-4.65,-5.96,-10.46,-3.18,5.19,12.21,11.77,11.77,11.77,20.0,44.02,52.27,39.02,44.02,37.35,44.47,65.15,55.76,65.76
2020-04-30,688126,13.4,15.84,15.84,13.21,1197874,1743719294.0,19.92,20.0,2.64,26.63,0.0,0.0,-16.05,-16.28,-6.81,-8.1,-12.49,-5.37,2.8,4.77,13.12,12.22,12.22,12.22,20.01,26.89,15.85,20.01,14.46,20.39,37.63,29.8,38.13,43.31
2020-05-06,688126,16.1,19.01,19.01,16.1,1429353,2457597757.0,18.37,20.01,3.17,31.78,0.0,-31.12,-31.3,-23.54,-24.6,-28.2,-22.36,-15.65,-14.04,-1.61,14.66,12.9,12.9,12.9,5.73,-3.47,0.0,-4.63,0.32,14.68,8.15,15.1,19.41,29.83
2020-05-07,688126,19.42,17.66,20.1,17.2,2058301,3800910575.0,15.26,-7.1,-1.35,45.76,-35.52,-35.7,-28.43,-29.42,-32.79,-27.33,-21.05,-19.53,-7.91,10.52,15.84,13.57,13.33,13.33,3.91,7.64,2.66,7.98,23.44,16.42,23.9,28.54,39.75,39.86
2020-05-08,688126,17.38,17.72,18.35,16.75,1523566,2669467694.0,9.06,0.34,0.06,33.87,-33.97,-26.51,-27.52,-30.99,-25.37,-18.93,-17.37,-5.43,13.49,20.0,16.69,14.31,13.7,13.7,7.28,2.31,7.62,23.02,16.03,23.48,28.1,39.28,39.39,30.36
2020-05-11,688126,17.81,18.27,19.01,17.23,1296186,2342598935.0,10.05,3.1,0.55,28.82,-28.55,-29.54,-32.91,-27.45,-21.18,-19.67,-8.07,10.33,16.66,6.5,17.7,14.95,14.05,14.05,-0.77,4.38,19.32,12.53,19.76,24.25,35.08,35.19,26.44,28.74
2020-05-12,688126,17.86,17.68,18.13,16.76,1151294,2004958669.0,7.5,-3.23,-0.59,25.59,-27.57,-31.03,-25.42,-18.97,-17.42,-5.49,13.42,19.93,9.49,13.42,18.07,15.59,14.31,14.31,7.86,23.3,16.29,23.76,28.39,39.59,39.71,30.66,33.03,48.3
2020-05-13,688126,17.49,18.28,19.07,17.41,1191287,2190042170.0,9.39,3.39,0.6,26.48,-33.6,-28.2,-22.0,-20.51,-9.02,9.19,15.45,5.4,9.19,4.14,17.92,16.29,14.57,14.57,19.26,12.47,19.69,24.18,35.01,35.12,26.37,28.67,43.44,60.56
2020-05-14,688126,18.48,19.2,21.8,18.12,1631113,3206068515.0,20.13,5.03,0.92,36.26,-31.02,-25.06,-23.62,-12.58,4.91,10.93,1.27,4.91,0.06,5.24,18.23,17.04,14.86,14.86,7.08,13.96,18.23,28.54,28.65,20.31,22.5,36.56,52.86,63.8
2020-05-15,688126,19.45,19.94,20.56,18.9,1310878,2588291569.0,8.65,3.85,0.74,29.14,-28.15,-26.77,-16.19,0.58,6.35,-2.91,0.58,-4.07,0.9,15.34,18.67,17.68,15.16,15.16,9.73,13.84,23.77,23.87,15.85,17.95,31.49,47.19,57.72,74.27
2020-05-18,688126,21.01,20.6,21.88,20.19,1355229,2844240307.0,8.48,3.31,0.66,30.13,-31.45,-21.55,-5.84,-0.45,-9.11,-5.84,-10.2,-5.55,7.97,1.83,19.14,18.42,15.46,15.46,10.19,19.81,19.9,12.14,14.17,27.28,42.48,52.67,68.69,63.35
2020-05-19,688126,20.5,22.7,22.7,20.35,1270107,2695102568.0,11.41,10.19,2.1,28.24,-22.16,-6.58,-1.23,-9.83,-6.58,-10.91,-6.29,7.13,1.03,7.52,20.14,19.11,15.84,15.84,8.72,8.81,1.76,3.61,15.51,29.3,38.55,53.08,48.24,60.09
2020-05-20,688126,22.0,23.56,24.68,21.97,1338740,3132095163.0,11.94,3.79,0.86,29.76,-13.47,-8.51,-16.48,-13.47,-17.48,-13.2,-0.77,-6.42,-0.41,3.32,21.2,19.56,16.23,16.23,4.84,-1.95,-0.17,11.29,24.58,33.49,47.5,42.83,54.24,61.25
2020-05-21,688126,23.89,22.49,24.7,21.57,1349742,3148965415.0,13.29,-4.54,-1.07,30.01,-6.82,-14.93,-11.87,-15.95,-11.59,1.07,-4.68,1.44,5.24,14.42,21.86,20.04,16.81,16.53,2.71,4.58,16.59,30.5,39.84,54.51,49.62,61.58,68.92,58.2
2020-05-22,688126,22.07,22.76,23.1,21.52,1066037,2379996973.0,7.03,1.2,0.27,23.7,-14.73,-11.66,-15.75,-11.38,1.3,-4.46,1.67,5.48,14.68,14.78,22.42,20.55,17.43,16.81,3.34,15.2,28.95,38.18,52.68,47.85,59.67,66.92,56.33,40.42
2020-05-25,688126,22.9,22.18,23.52,22.1,995397,2269063770.0,6.24,-2.55,-0.58,22.13,-13.98,-17.96,-13.71,-1.36,-6.97,-1.0,2.71,11.67,11.76,4.52,22.74,20.94,17.95,17.04,18.21,32.33,41.79,56.67,51.71,63.84,71.28,60.41,44.09,38.73
2020-05-26,688126,22.36,26.21,26.22,22.31,1484494,3574821805.0,17.63,18.17,4.03,33.0,-18.74,-14.52,-2.29,-7.84,-1.93,1.75,10.62,10.71,3.54,5.42,23.44,21.79,18.69,17.43,11.98,19.99,32.58,28.39,38.65,44.94,35.75,21.94,17.4,23.54
2020-05-27,688126,26.5,27.7,29.35,26.0,1408724,3846718122.0,12.78,5.68,1.49,31.32,-26.65,-16.15,-20.92,-15.85,-12.69,-5.08,-5.0,-11.15,-9.54,0.85,24.27,22.73,19.51,17.84,13.54,25.45,21.48,31.19,37.15,28.45,15.38,11.08,16.9,20.14
2020-05-28,688126,27.0,31.32,31.45,26.3,1285528,3625923487.0,18.59,13.07,3.62,28.58,-17.11,-21.83,-16.81,-13.69,-6.16,-6.08,-12.17,-10.57,-0.3,11.6,26.03,23.95,20.49,18.36,10.95,7.44,16.03,21.3,13.6,2.04,-1.76,3.38,6.26,11.43
2020-05-29,688126,30.6,30.8,34.75,29.5,1485884,4743839209.0,16.76,-1.66,-0.52,33.03,-30.31,-25.83,-23.05,-16.34,-16.27,-21.69,-20.27,-11.12,-0.51,6.61,27.64,25.03,21.36,18.82,9.25,17.99,23.34,15.52,3.77,-0.1,5.13,8.05,13.31,10.29
2020-06-01,688126,31.45,33.56,33.65,31.45,1204125,3916216761.0,7.14,8.96,2.76,26.77,-30.43,-27.82,-21.53,-21.46,-26.55,-25.21,-16.63,-6.68,0.0,10.49,29.92,26.33,22.37,19.34,8.28,13.2,6.02,-4.77,-8.31,-3.52,-0.83,3.99,1.22,-3.96
2020-06-02,688126,34.53,36.3,36.34,33.15,1000986,3466374981.0,9.51,8.16,2.74,22.25,-31.52,-25.55,-25.49,-30.32,-29.05,-20.9,-11.46,-5.13,4.83,1.51,31.94,27.69,23.4,19.93,4.66,-1.98,-11.96,-15.23,-10.8,-8.32,-3.86,-6.42,-11.21,-8.76
2020-06-03,688126,35.05,35.22,37.99,34.4,1072095,3842972679.0,9.89,-2.98,-1.08,23.83,-28.26,-28.2,-32.85,-31.63,-23.78,-14.68,-8.58,1.02,-2.18,5.64,33.44,28.85,24.21,20.44,1.02,-9.26,-12.63,-8.06,-5.51,-0.91,-3.55,-8.49,-5.96,-10.08
2020-06-04,688126,34.75,30.37,35.58,29.85,1531630,4926909856.0,16.27,-13.77,-4.85,34.05,-17.25,-22.61,-21.21,-12.16,-1.68,5.36,16.42,12.73,21.74,27.27,33.25,29.64,24.84,21.09,5.24,1.32,6.62,9.58,14.92,11.85,6.12,9.05,4.28,4.05
2020-06-05,688126,31.0,30.59,31.96,29.04,1259460,3865913783.0,9.61,0.72,0.22,28.0,-20.45,-19.01,-9.71,1.07,8.3,19.66,15.87,25.14,30.82,22.52,33.21,30.42,25.49,21.76,0.59,5.85,8.79,14.09,11.05,5.36,8.27,3.53,3.3,0.59
