日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,d-10,d-9,d-8,d-7,d-6,d-5,d-4,d-3,d-2,d-1,5日均,10日均,20日均,30日均,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2019-11-15,688300,43.0,44.0,45.0,40.01,142502,599280152.0,18.29,61.29,16.72,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0,-6.82,-13.61,-17.11,-19.36,-21.93,-26.25,-28.84,-28.8,-27.27,-27.93
2019-11-18,688300,40.8,37.46,41.0,36.76,81831,315204094.0,9.64,-14.86,-6.54,41.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.42,40.73,40.73,40.73,40.73,1.47,-2.64,-5.29,-8.3,-13.37,-16.42,-16.36,-14.58,-15.35,-10.84
2019-11-19,688300,37.0,36.99,38.01,35.99,60443,222915596.0,5.39,-1.25,-0.47,30.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.03,13.92,39.48,39.48,39.48,39.48,-1.41,-4.08,-7.14,-12.27,-15.36,-15.3,-13.49,-14.27,-9.71,-13.49
2019-11-20,688300,36.47,34.55,36.47,34.0,60437,213513791.0,6.68,-6.6,-2.44,30.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35,20.59,11.79,38.25,38.25,38.25,38.25,2.69,-0.58,-6.08,-9.38,-9.32,-7.38,-8.22,-3.33,-7.38,-8.91
2019-11-21,688300,34.16,34.0,35.48,33.33,44507,151730957.0,6.22,-1.59,-0.55,22.77,0.0,0.0,0.0,0.0,0.0,0.0,35.01,23.01,14.04,9.42,37.4,37.4,37.4,37.4,1.03,-4.56,-7.91,-7.85,-5.88,-6.74,-1.76,-5.88,-7.44,-8.12
2019-11-22,688300,33.88,32.1,34.35,32.05,43625,144584337.0,6.76,-5.59,-1.9,22.32,0.0,0.0,0.0,0.0,0.0,40.41,27.93,18.6,13.79,10.7,35.02,36.52,36.52,36.52,1.09,-2.46,-2.4,-0.31,-1.21,4.05,-0.31,-1.96,-2.68,-1.71
2019-11-25,688300,32.2,31.02,32.45,30.55,36227,112953484.0,5.92,-3.36,-1.08,18.53,0.0,0.0,0.0,0.0,47.3,34.21,24.42,19.38,16.14,12.44,33.73,35.73,35.73,35.73,0.93,1.0,3.16,2.22,7.67,3.16,1.45,0.71,1.71,3.09
2019-11-26,688300,31.03,30.83,31.31,30.55,20573,63393795.0,2.45,-0.61,-0.19,10.53,0.0,0.0,0.0,47.3,34.21,24.42,19.38,16.14,12.44,6.22,32.5,35.12,35.12,35.12,1.62,3.8,2.85,8.34,3.8,2.08,1.33,2.34,3.73,9.96
2019-11-27,688300,30.82,31.07,31.33,30.4,23220,71820654.0,3.02,0.78,0.24,11.88,0.0,0.0,48.03,34.87,25.03,19.97,16.71,12.99,6.74,2.99,31.8,34.67,34.67,34.67,2.99,2.06,7.5,2.99,1.29,0.55,1.54,2.93,9.11,7.18
2019-11-28,688300,30.95,31.08,32.0,30.83,24573,77046317.0,3.77,0.03,0.01,12.57,0.0,45.96,32.99,23.29,18.29,15.08,11.42,5.25,1.56,1.62,31.22,34.31,34.31,34.31,2.03,7.46,2.96,1.25,0.51,1.51,2.9,9.07,7.14,6.98
2019-11-29,688300,31.2,31.44,31.71,30.87,20118,62879668.0,2.7,1.16,0.36,10.29,45.77,32.82,23.13,18.14,14.93,11.27,5.12,1.43,1.49,3.66,31.09,33.05,34.05,34.05,6.23,1.78,0.1,-0.64,0.35,1.72,7.82,5.92,5.76,4.8
2019-12-02,688300,31.88,32.01,33.4,31.78,43419,141241550.0,5.15,1.81,0.57,22.21,29.01,19.6,14.76,11.64,8.09,2.11,-1.48,-1.42,0.69,-0.22,31.29,32.51,33.88,33.88,-0.03,-1.69,-2.41,-1.44,-0.09,5.9,4.03,3.87,2.94,7.65
2019-12-03,688300,32.0,31.5,32.0,29.99,33284,103014033.0,6.28,-1.59,-0.51,17.03,26.74,21.61,18.31,14.54,8.2,4.4,4.47,6.7,5.74,11.37,31.42,31.96,33.7,33.7,-0.1,-0.83,0.16,1.52,7.62,5.71,5.56,4.6,9.4,10.67
2019-12-04,688300,31.0,30.9,31.47,30.56,13254,41120169.0,2.89,-1.9,-0.6,6.78,19.34,16.1,12.4,6.18,2.45,2.52,4.71,3.76,9.29,4.71,31.39,31.59,33.5,33.5,1.1,2.1,3.5,9.71,7.77,7.61,6.63,11.52,12.82,16.5
2019-12-05,688300,30.98,31.08,31.24,30.65,15754,48776630.0,1.91,0.58,0.18,8.06,15.76,12.07,5.87,2.15,2.22,4.4,3.46,8.97,4.4,2.68,31.39,31.3,33.34,33.34,1.51,2.9,9.07,7.14,6.98,6.02,10.88,12.16,15.83,16.89
2019-12-06,688300,31.03,31.3,31.55,30.95,16448,51389345.0,1.93,0.71,0.22,8.41,10.99,4.85,1.16,1.23,3.39,2.46,7.92,3.39,1.68,0.94,31.36,31.22,33.21,33.21,2.17,8.31,6.39,6.23,5.27,10.1,11.37,15.02,16.07,25.56
2019-12-09,688300,31.38,31.8,31.98,30.91,22265,69998695.0,3.42,1.6,0.5,11.39,4.98,1.29,1.36,3.53,2.59,8.06,3.53,1.81,1.07,2.07,31.32,31.3,33.13,33.13,6.6,4.72,4.56,3.62,8.36,9.62,13.21,14.25,23.58,33.27
2019-12-10,688300,31.65,32.83,33.9,31.5,49485,163459808.0,7.55,3.24,1.03,25.32,-0.6,-0.54,1.59,0.67,6.03,1.59,-0.1,-0.83,0.16,1.52,31.58,31.5,33.11,33.11,1.43,1.28,0.37,4.96,6.18,9.66,10.66,19.71,29.09,34.94
2019-12-11,688300,32.4,32.3,33.3,32.29,21024,68648757.0,3.08,-1.61,-0.53,10.76,-2.97,-0.9,-1.8,3.44,-0.9,-2.54,-3.25,-2.29,-0.96,4.99,31.86,31.62,33.07,33.07,2.94,2.01,6.69,7.93,11.46,12.48,21.67,31.21,37.15,45.45
2019-12-12,688300,32.5,32.52,33.25,32.4,18561,60988646.0,2.63,0.68,0.22,9.5,-1.23,-2.13,3.09,-1.23,-2.87,-3.58,-2.62,-1.3,4.63,2.78,32.15,31.77,33.04,33.04,1.32,5.97,7.2,10.7,11.72,20.85,30.32,36.22,44.46,43.54
2019-12-13,688300,32.57,32.25,32.95,31.92,16738,53947314.0,3.17,-0.83,-0.27,8.56,-0.66,4.64,0.25,-1.41,-2.13,-1.16,0.19,6.2,4.32,4.17,32.34,31.85,32.45,33.0,6.85,8.09,11.63,12.65,21.86,31.41,37.36,45.67,44.74,40.5
2019-12-16,688300,33.0,34.07,34.46,32.96,38399,130230795.0,4.65,5.64,1.82,19.65,1.33,-2.91,-4.52,-5.22,-4.28,-2.97,2.85,1.03,0.88,-0.03,32.79,32.05,32.28,33.05,2.32,5.66,6.63,15.35,24.39,30.03,37.89,37.01,32.99,27.09
2019-12-17,688300,33.84,34.69,34.86,33.69,29712,102283488.0,3.43,1.82,0.62,15.2,-5.02,-6.59,-7.27,-6.35,-5.08,0.62,-1.16,-1.31,-2.2,2.29,33.17,32.37,32.17,33.12,3.78,4.73,13.29,22.17,27.7,35.43,34.56,30.61,24.82,32.2
2019-12-18,688300,34.74,35.19,36.0,34.74,27739,98281293.0,3.63,1.44,0.5,14.19,-9.41,-10.07,-9.18,-7.94,-2.42,-4.15,-4.29,-5.15,-0.81,0.35,33.74,32.8,32.2,33.21,3.24,11.68,20.43,25.89,33.5,32.65,28.76,23.05,30.32,52.03
2019-12-19,688300,35.6,35.87,36.33,34.92,26667,95218425.0,4.01,1.93,0.68,13.64,-10.54,-9.65,-8.42,-2.92,-4.64,-4.78,-5.64,-1.32,-0.17,3.09,34.41,33.28,32.29,33.31,9.56,18.15,23.5,30.97,30.14,26.32,20.71,27.85,49.15,62.56
2019-12-20,688300,35.89,38.75,39.3,35.68,45077,169322013.0,10.09,8.03,2.88,23.06,-11.58,-10.37,-4.99,-6.67,-6.81,-7.65,-3.42,-2.3,0.9,1.82,35.71,34.03,32.62,33.52,9.37,14.32,21.24,20.46,16.93,11.74,18.35,38.06,50.48,46.79
2019-12-23,688300,39.8,38.92,42.38,38.18,49216,198868291.0,10.84,0.44,0.17,25.18,-16.24,-11.21,-12.78,-12.91,-13.7,-9.74,-8.7,-5.71,-4.85,2.93,36.68,34.74,33.02,33.72,13.82,20.71,19.94,16.42,11.25,17.83,37.46,49.82,46.15,47.1
2019-12-24,688300,39.05,43.85,44.3,38.6,40876,168932981.0,14.65,12.67,4.93,20.91,-12.18,-13.73,-13.86,-14.64,-10.73,-9.69,-6.74,-5.88,1.81,9.79,38.52,35.84,33.67,34.08,7.14,6.45,3.33,-1.25,4.58,22.01,32.98,29.71,30.56,22.33
2019-12-25,688300,42.5,46.03,46.98,41.6,43211,190118556.0,12.27,4.97,2.18,22.11,-19.95,-20.07,-20.79,-17.16,-16.2,-13.46,-12.67,-5.53,1.88,6.49,40.68,37.21,34.42,34.5,1.41,-1.56,-5.93,-0.37,16.23,26.68,23.57,24.38,16.53,20.44
2019-12-26,688300,45.6,44.65,46.68,43.9,28047,126718979.0,6.04,-3.0,-1.38,14.35,-24.26,-24.94,-21.5,-20.59,-18.0,-17.24,-10.48,-3.46,0.91,7.02,42.44,38.43,35.1,34.84,1.48,-3.02,2.71,19.82,30.59,27.39,28.22,20.13,24.17,20.4
2019-12-27,688300,44.71,42.77,45.31,42.03,25369,109805089.0,7.35,-4.21,-1.88,12.98,-21.6,-18.01,-17.06,-14.35,-13.56,-6.5,0.83,5.4,11.78,11.06,43.24,39.48,35.66,34.79,1.24,7.22,25.09,36.33,32.99,33.86,25.42,29.62,25.7,26.91
2019-12-30,688300,43.3,42.36,43.3,40.01,22370,93846380.0,7.69,-0.96,-0.41,11.44,-13.87,-12.87,-10.02,-9.2,-1.77,5.92,10.72,17.42,16.67,13.25,43.93,40.31,36.18,34.96,8.26,26.3,37.65,34.28,35.15,26.63,30.88,26.91,28.14,28.66
2019-12-31,688300,42.39,45.45,45.86,42.23,23879,106079683.0,8.57,7.29,3.09,12.22,-17.45,-14.75,-13.97,-6.94,0.36,4.9,11.25,10.54,7.29,2.53,44.25,41.38,36.88,35.24,17.71,28.29,25.15,25.96,18.02,21.98,18.28,19.43,19.91,21.67
2020-01-02,688300,46.0,50.18,53.5,44.69,29025,137772881.0,19.38,10.41,4.73,14.85,-19.45,-18.71,-12.06,-5.17,-0.87,5.12,4.45,1.39,-3.11,2.62,45.08,42.88,37.84,35.76,16.2,13.35,14.09,6.9,10.48,7.13,8.17,8.61,10.2,8.13
