日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,d-10,d-9,d-8,d-7,d-6,d-5,d-4,d-3,d-2,d-1,5日均,10日均,20日均,30日均,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2022-06-06,001270,26.02,31.22,31.22,26.02,5949,18478653.0,23.99,44.0,9.54,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.22,31.22,31.22,31.22,9.99,20.98,33.09,46.41,61.05,77.16,94.88,114.35,135.78,159.35
2022-06-07,001270,34.34,34.34,34.34,34.34,983,3376411.0,0.0,9.99,3.12,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.09,32.78,32.78,32.78,32.78,9.99,21.0,33.11,46.42,61.07,77.17,94.87,114.36,135.79,159.38
2022-06-08,001270,37.77,37.77,37.77,37.77,1150,4344041.0,0.0,9.99,3.43,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.34,-9.08,34.44,34.44,34.44,34.44,10.01,21.02,33.12,46.44,61.08,77.18,94.89,114.38,135.82,159.41
2022-06-09,001270,41.55,41.55,41.55,41.55,1896,7877422.0,0.0,10.01,3.78,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.86,-17.35,-9.1,36.22,36.22,36.22,36.22,10.01,21.01,33.12,46.43,61.06,77.16,94.87,114.37,135.81,147.58
2022-06-10,001270,45.71,45.71,45.71,45.71,3009,13755784.0,0.0,10.01,4.16,1.08,0.0,0.0,0.0,0.0,0.0,0.0,-31.7,-24.87,-17.37,-9.1,38.12,38.12,38.12,38.12,10.0,21.0,33.1,46.4,61.04,77.14,94.86,114.35,125.05,147.56
2022-06-13,001270,50.28,50.28,50.28,50.28,7909,39767507.0,0.0,10.0,4.57,2.83,0.0,0.0,0.0,0.0,0.0,-37.91,-31.7,-24.88,-17.36,-9.09,41.93,40.15,40.15,40.15,10.0,21.0,33.09,46.4,61.04,77.15,94.87,104.59,125.06,129.3
2022-06-14,001270,55.31,55.31,55.31,55.31,2884,15953671.0,0.0,10.0,5.03,1.03,0.0,0.0,0.0,0.0,-43.55,-37.91,-31.71,-24.88,-17.36,-9.09,46.12,42.31,42.31,42.31,10.0,20.99,33.09,46.39,61.04,77.15,85.99,104.59,108.44,105.77
2022-06-15,001270,60.84,60.84,60.84,60.84,1249,7598733.0,0.0,10.0,5.53,0.45,0.0,0.0,0.0,-48.69,-43.56,-37.92,-31.71,-24.87,-17.36,-9.09,50.74,44.63,44.63,44.63,9.99,20.99,33.09,46.4,61.05,69.08,86.0,89.5,87.06,84.06
2022-06-16,001270,66.92,66.92,66.92,66.92,1629,10898457.0,0.0,9.99,6.08,0.58,0.0,0.0,-53.35,-48.68,-43.56,-37.91,-31.69,-24.87,-17.35,-9.09,55.81,47.1,47.1,47.1,10.0,21.0,33.1,46.41,53.72,69.1,72.28,70.07,67.33,53.75
2022-06-17,001270,73.61,73.61,73.61,73.61,4278,31491094.0,0.0,10.0,6.69,1.53,0.0,-57.59,-53.35,-48.69,-43.55,-37.9,-31.69,-24.86,-17.35,-9.09,61.39,49.76,49.76,49.76,10.0,21.0,33.11,39.75,53.73,56.62,54.61,52.13,39.78,51.23
